Name1,Total Time,Total Count,Avg Time,Avg Count,Last Session,Count Details0,Count Details1
SWH31811,279:00:00,199,17:36,12.6,12/12/2013 12:56,,
SWH31812,189:44:00,223,11:58,14.1,12/10/2013 18:10,,
SWH31813,204:48:00,223,12:55,14.1,12/12/2013 15:54,,
SWH31814,442:31:00,150,27:55:00,9.5,12/12/2013 13:00,,
SWH31815,195:36:00,153,12:20,9.7,12/12/2013 10:00,,
SWH31816,577:43:00,647,36:27:00,40.8,12/12/2013 16:12,,
SWH31817,259:43:00,265,16:23,16.7,12/11/2013 18:19,,
SWH31818,491:03:00,468,30:59:00,29.5,12/12/2013 23:29,,
SWH31819,216:15:00,258,13:39,16.3,12/12/2013 23:14,,
SWH31820,192:02:00,373,12:07,23.5,12/12/2013 14:20,,
SWH31821,134:03:00,145,8:27,9.1,12/11/2013 15:09,,
SWH31822,240:45:00,209,15:11,13.2,12/12/2013 23:26,,
SWH31823,274:28:00,378,17:19,23.8,12/12/2013 17:54,,
SWH31824,505:08:00,299,31:52:00,18.9,12/12/2013 12:06,,
SWH31825,266:25:00,304,16:48,19.2,12/12/2013 12:15,,
VA178C01701,167:19:00,247,10:33,15.6,12/12/2013 15:22,,
VA178C01702,67:12:00,35,4:14,2.2,12/12/2013 14:00,,
VA178C01703,63:45:00,61,4:01,3.8,12/12/2013 15:20,,
VA178C01704,86:33:00,134,5:28,8.5,12/12/2013 14:39,,
VA178C01705,92:30:00,162,5:50,10.2,12/12/2013 21:18,,
VA178C01706,200:22:00,19,12:38,1.2,12/12/2013 21:17,,
VA178C01707,348:30:00,33,21:59,2.1,12/12/2013 12:49,,
VA178C01708,147:53:00,59,9:20,3.7,12/12/2013 15:18,,
VA178C01709,853:16:00,144,53:50:00,9.1,12/12/2013 15:18,,
VA178C01710,131:33:00,163,8:18,10.3,12/12/2013 21:19,,
VA178C01711,80:57:00,43,5:06,2.7,12/12/2013 15:12,,
VA178C01712,62:55:00,57,3:58,3.6,12/12/2013 14:13,,
VA178C01713,486:04:00,78,30:40:00,4.9,12/12/2013 14:25,,
VA178C01714,221:45:00,209,13:59,13.2,12/12/2013 14:25,,
VA178C01715,238:45:00,302,15:04,19.1,12/12/2013 14:49,,
