Name1,Total Time,Total Count,Avg Time,Avg Count,Last Session,Count Details0,Count Details1
BRH26412,18:30,23,1:09,1.4,4/27/2014 14:55,,
DISSERV1,284:23:00,56,17:37,3.5,5/8/2014 23:59,,
DISSERV2,141:16:00,89,8:45,5.5,5/8/2014 16:59,,
DISSERV3,138:14:00,42,8:34,2.6,5/7/2014 12:53,,
DISSERV4,260:57:00,169,16:10,10.5,5/8/2014 12:31,,
DISSERV5,124:52:00,53,7:44,3.3,5/8/2014 10:19,,
DISSERV6,450:10:00,76,27:54:00,4.7,5/7/2014 9:35,,
GIH10401,269:19:00,179,16:41,11.1,5/1/2014 15:24,,
GIH10402,460:43:00,151,28:33:00,9.4,5/1/2014 13:08,,
GIH10403,125:52:00,122,7:48,7.6,5/1/2014 14:28,,
GIH10404,144:52:00,136,8:59,8.4,5/1/2014 15:06,,
GIH10405,101:33:00,98,6:18,6.1,5/1/2014 14:41,,
GIH10406,291:27:00,104,18:04,6.4,5/1/2014 14:41,,
GIH10407,375:15:00,128,23:15,7.9,5/1/2014 14:42,,
GIH10408,199:28:00,145,12:22,9,5/1/2014 14:40,,
GIH10409,120:28:00,108,7:28,6.7,5/1/2014 10:14,,
GIH10410,326:58:00,153,20:16,9.5,5/1/2014 15:03,,
GIH10411,209:53:00,171,13:00,10.6,5/1/2014 15:17,,
GIH10412,128:11:00,122,7:57,7.6,5/1/2014 14:44,,
GIH10413,215:21:00,152,13:21,9.4,5/1/2014 11:48,,
GIH10414,133:44:00,131,8:17,8.1,5/1/2014 14:40,,
GIH10415,188:05:00,185,11:39,11.5,5/1/2014 11:10,,
GIH10416,164:06:00,157,10:10,9.7,5/1/2014 14:41,,
GIH10417,209:27:00,185,12:59,11.5,5/1/2014 14:56,,
GIH10418,144:15:00,115,8:56,7.1,5/1/2014 13:31,,
GIH10419,135:10:00,124,8:23,7.7,5/1/2014 14:57,,
GIH10420,267:59:00,134,16:36,8.3,5/1/2014 14:53,,
GIH10421,131:41:00,125,8:10,7.7,5/1/2014 14:46,,
GIH10422,107:40:00,104,6:40,6.4,5/1/2014 14:48,,
GIH10423,110:32:00,114,6:51,7.1,5/1/2014 12:48,,
GIH10424,115:40:00,113,7:10,7,5/1/2014 11:39,,
GIH10425,34:01:00,36,2:06,2.2,2/26/2014 12:14,,
GIH10426,130:51:00,123,8:06,7.6,5/1/2014 13:23,,
GIH10427,109:19:00,106,6:46,6.6,5/1/2014 13:19,,
GIH10428,114:33:00,110,7:06,6.8,5/1/2014 13:06,,
GIH10429,43:44:00,38,2:43,2.4,4/30/2014 12:11,,
GIH10430,252:53:00,115,15:40,7.1,5/1/2014 13:23,,
GIH10431,221:06:00,93,13:42,5.8,5/1/2014 13:09,,
GIH107-2,2562:14:00,871,158:46:00,54,5/8/2014 23:29,,
GIH107-3,111:40:00,35,6:55,2.2,5/2/2014 11:23,,
GIH11501,327:11:00,191,20:16,11.8,5/2/2014 11:10,,
GIH11502,175:48:00,174,10:54,10.8,5/2/2014 10:15,,
GIH11503,165:20:00,164,10:15,10.2,5/1/2014 16:15,,
GIH11504,127:42:00,127,7:55,7.9,5/2/2014 11:10,,
GIH11505,159:57:00,148,9:55,9.2,5/1/2014 13:42,,
GIH11506,449:33:00,146,27:51:00,9,5/1/2014 16:08,,
GIH11507,128:04:00,120,7:56,7.4,5/1/2014 12:07,,
GIH11508,103:43:00,98,6:26,6.1,5/1/2014 11:43,,
GIH11509,9:22,7,0:35,0.4,4/30/2014 14:55,,
GIH11510,246:12:00,105,15:15,6.5,5/2/2014 10:27,,
GIH11511,220:37:00,157,13:40,9.7,5/2/2014 11:09,,
GIH11512,221:43:00,182,13:44,11.3,5/2/2014 10:32,,
GIH11513,241:48:00,174,14:59,10.8,5/2/2014 10:15,,
GIH11514,259:02:00,230,16:03,14.3,5/2/2014 10:06,,
GIH11515,260:57:00,208,16:10,12.9,5/2/2014 10:23,,
GIH11516,245:40:00,210,15:13,13,5/2/2014 10:02,,
GIH11517,204:40:00,181,12:41,11.2,5/1/2014 17:55,,
GIH11518,736:21:00,208,45:38:00,12.9,5/2/2014 10:00,,
GIH11519,257:53:00,199,15:59,12.3,5/2/2014 10:08,,
GIH11520,180:47:00,161,11:12,10,5/2/2014 10:15,,
GIH11521,377:46:00,92,23:25,5.7,5/1/2014 16:14,,
GIH11522,428:21:00,124,26:33:00,7.7,5/8/2014 23:59,,
GIH11523,224:10:00,80,13:53,5,5/1/2014 11:45,,
GIH11524,299:08:00,83,18:32,5.1,5/1/2014 15:23,,
GIH11525,544:22:00,78,33:44:00,4.8,5/1/2014 11:13,,
